Song,Date,Number of Plays
Bee,1930-02-26,811
Cordi,1934-02-15,744
Carolina,1927-03-19,374
Andree,2006-09-14,807
Morganica,1974-05-08,431
Aeriela,1979-07-06,627
Estell,2015-10-10,757
Beth,1948-10-16,377
Elsie,2004-09-04,27
Suzette,2009-09-02,2
Cathyleen,1907-10-05,333
Eolanda,1996-03-30,468
Bettine,1984-07-01,330
Brena,1913-10-03,86
Noelle,1930-08-05,34
Neila,1943-02-11,283
Rivalee,1980-12-26,474
Chere,1934-07-12,963
Zondra,1922-08-26,833
Lindie,2008-01-16,542
Kimmy,1936-01-28,230
Rori,1900-01-28,755
Ketti,1977-09-06,163
Starla,1965-08-26,799
Merry,1966-09-15,577
Eolanda,1976-04-14,675
Melisent,1948-10-31,704
Fernande,1969-05-11,323
Steffane,1906-08-19,444
Miquela,1929-11-12,625
Vita,2002-03-23,441
Merci,1982-09-07,210
Jordan,1929-04-16,942
Therine,1984-02-17,109
Candi,1995-06-24,278
Briney,1937-01-01,77
Barbara,1948-12-16,683
Fanchon,1980-03-21,572
Jeanna,1950-05-30,906
Liana,1956-12-20,781
Imojean,1953-03-14,890
Lorenza,1994-02-20,829
Lynnea,1919-07-07,653
Claresta,1982-12-27,551
Brena,1962-09-13,775
Brana,1924-10-18,311
Cathyleen,1913-11-17,958
Doro,1902-07-26,489
Calla,1908-07-19,268
Cissiee,2013-09-22,8
Celisse,1913-03-13,813
Hope,1978-02-01,313
Iseabal,1989-10-25,185
Nanete,1901-02-10,420
Nelle,1963-06-21,811
Fredericka,1955-09-06,153
Rosabelle,1989-10-03,470
Lita,1929-01-25,422
Roberta,1967-12-14,202
Kimmy,1959-01-24,821
Rhea,1995-05-10,275
Annice,1910-08-31,395
Henriette,1986-11-20,832
Kristan,1995-04-05,116
Dennie,1952-08-30,613
Basia,2012-07-04,351
Anthia,1952-06-27,777
Taffy,1996-01-03,2
Leona,1943-12-25,86
Kaja,2019-07-19,917
Goldie,1906-06-02,379
Kayla,1958-04-18,731
Blake,1947-11-12,116
Tera,1978-09-29,839
Candi,1964-05-05,785
Marcelline,1988-02-10,663
Dale,1929-05-03,401
Concettina,1931-09-25,689
Hildegaard,1980-02-14,74
Cristine,2004-01-21,336
Donetta,2011-12-03,599
Goldie,1908-04-30,32
Lonnie,1973-04-03,523
Georgina,1998-02-19,963
Briney,2003-01-01,72
Beverley,1948-06-04,163
Sheree,1992-01-13,694
Minda,1922-05-20,437
Letizia,1910-07-29,724
Jany,1945-05-09,593
Christian,1955-06-16,258
Delilah,1943-06-23,447
Elyssa,1907-06-21,938
Vanessa,1934-08-01,272
Henriette,1969-03-31,875
Leontine,2012-06-26,646
Renae,1988-02-29,580
Drucie,1912-06-03,817
Nataline,1954-04-06,675
Evita,1922-07-24,817
Heddie,2014-06-01,32
Blinni,1911-03-01,882
Emylee,1966-04-14,871
Cacilie,1912-01-03,150
Jordan,2008-03-16,196
Jessy,1995-04-01,48
Iseabal,1913-10-17,20
Riannon,1923-01-12,262
Courtnay,1979-06-15,542
Misha,1996-10-21,74
Meriel,1962-03-20,614
Hannis,1998-07-04,681
Petronia,1928-10-14,374
Maisey,1965-03-20,262
Pearline,2014-09-13,191
Lynnea,1985-04-29,58
Verla,1941-06-07,589
Kittie,1967-04-06,738
Dawn,1970-12-02,844
Philis,1985-06-17,635
Keelia,1960-11-24,520
Shandie,1928-02-13,593
Frank,1949-03-05,252
Clarice,1999-07-11,396
Lory,2014-11-27,64
Darlleen,1942-03-30,106
Dulcinea,1926-12-08,520
Marjie,1925-11-22,374
Ileana,2001-10-02,902
Donnie,2011-05-24,582
Thalia,1930-07-25,306
Vinita,2000-04-17,658
Heida,1959-03-09,877
Annice,2007-07-17,168
Andree,1974-12-01,931
Ingrid,1924-04-12,595
Sabina,1906-03-21,824
Lanae,1967-04-08,511
Sheree,1975-06-11,756
Helena,1997-09-06,57
Briney,1914-10-12,933
Fernande,1964-10-28,435
Monika,1952-12-03,507
Corly,2014-06-09,356
Marguerite,1944-06-05,103
Clo,1912-12-23,64
Jaclyn,1934-03-27,715
Correy,1984-04-27,952
Cherrita,1961-06-05,947
Tracey,2011-02-19,127
Siana,1964-05-31,451
Allyce,1902-03-03,912
Merry,1977-09-07,350
Monika,1981-04-21,190
Chere,2002-10-19,492
Ana,1961-01-15,739
Amara,2005-05-23,634
Minda,1937-10-29,814
Gavrielle,2015-11-13,174
Elise,1902-10-20,167
Nessie,1991-09-26,619
Brena,1902-06-10,572
Gui,1917-04-14,952
Lynea,2015-06-06,143
Eadie,1996-05-07,129
Orsola,1957-12-25,138
Helena,2006-03-23,129
Selma,2003-06-11,253
Olivette,1973-10-20,737
Sidoney,1915-09-15,789
Fayre,1986-03-25,31
Selia,2006-10-11,497
Rosanne,1956-12-25,305
Sharlene,1947-11-30,524
Kate,1905-10-11,749
Jorry,1930-03-13,85
Rayna,1962-07-28,735
Minda,1908-12-27,740
Mariele,1955-04-11,204
Berta,1974-08-31,948
Oralee,2007-03-09,816
Phylis,2013-08-27,150
Kirstin,1938-08-15,390
Sadie,1989-09-21,81
Rhoda,1930-09-22,611
Dale,1964-10-24,707
Talya,1996-01-05,365
Cassandra,2002-01-25,908
Melina,1973-07-28,692
Elbertina,1995-07-07,446
Raf,1910-06-13,471
Meg,1945-02-11,893
Annecorinne,1940-07-06,845
Tilly,1944-07-11,124
Roseline,1992-11-28,249
Elyssa,1959-04-24,457
Belva,1941-03-04,889
Ada,1926-01-30,319
Riannon,2017-07-06,473
Larine,2005-11-07,363
Dominga,1994-03-15,493
Kelly,1987-11-25,539
Tonia,1975-06-14,367
Shaine,2015-10-27,573
Margarette,1976-12-05,72
Aurore,1923-11-21,257
Maryellen,1989-09-14,28
Etta,1933-06-08,301
Joleen,1983-08-22,576
Cathyleen,1978-12-13,125
Malina,1937-12-17,624
Dari,1943-10-18,179
Lyssa,1932-01-14,248
Dennie,2000-09-02,709
Marline,1934-01-17,894
Bernie,2010-01-03,695
Charissa,1954-01-19,194
Lindie,1973-01-02,401
Benita,1963-03-03,870
Elora,2010-04-22,155
Orelia,1915-12-21,709
Selia,1970-08-07,221
Melanie,1929-10-13,115
Melanie,1948-05-22,294
Caressa,1904-08-21,870
Joleen,1976-03-27,607
Phylis,1916-12-01,16
Dorice,1974-01-14,400
Perry,1905-01-05,768
Emelina,1922-09-23,474
Kaia,1970-07-01,529
Bill,1903-03-10,85
Teddie,1987-04-29,207
Ada,1943-02-23,643
Nickie,1944-07-30,821
Amelia,1936-11-22,22
Ruthe,1949-03-16,436
Joeann,1969-10-15,325
Codie,1906-08-02,26
Joy,1985-06-24,81
Jenilee,1916-09-26,623
Justinn,1929-08-28,819
Monika,1919-06-15,78
Edee,1937-11-21,787
Blinni,2008-05-11,955
Marjie,1938-11-20,415
Imojean,1955-07-14,234
Konstance,2019-07-06,170
Edyth,1970-01-29,369
Meghann,1932-01-24,338
June,1904-05-16,361
Clementine,2014-08-07,208
Farrah,1966-07-29,995
Rosene,1926-10-25,951
Sean,2018-01-04,899
Perry,1955-12-10,626
Modestia,1965-06-27,606
Candy,1904-09-30,95
Dyann,1959-01-08,249
Dode,2001-07-05,90
Janis,1940-11-09,977
Demetris,1911-04-04,908
Fredericka,1929-03-26,826
Tabbatha,1979-12-20,723
Paule,1919-03-29,971
Nariko,1955-01-21,680
Jaime,2010-11-22,46
Tybie,1956-07-26,172
Annaliese,1927-12-25,541
Jemie,1971-03-07,132
Marnia,1922-01-27,161
Valli,1949-10-01,304
Dania,1902-06-24,298
Lynnea,1929-12-06,994
Gui,1983-07-03,812
Yvonne,1976-11-14,836
Anica,1905-01-28,528
Theodora,1905-11-06,388
Claudina,1906-09-19,599
Carmela,1994-03-13,480
Bee,1999-02-28,811
Ulrike,2016-11-09,102
Silvana,1955-01-01,516
Korrie,2001-12-27,277
Annecorinne,1966-03-27,571
Olwen,1995-07-08,975
Brietta,2006-01-08,39
Nollie,1900-03-23,273
Ann-Marie,1994-12-23,112
Georgina,1943-11-16,443
Eugine,1961-08-30,176
Gretal,1935-04-27,851
Oona,1991-11-01,49
Mady,1975-08-25,366
Briney,1999-05-15,931
Roz,1988-11-10,913
Petronia,1980-07-18,545
Olivette,2005-02-26,110
Joelly,2011-02-27,755
Leeanne,2002-05-08,245
Helena,2006-08-10,736
Shirlee,1966-04-20,30
Edee,1937-11-21,491
Nickie,1953-02-24,278
Elyssa,1917-11-17,548
Gertrud,1935-12-16,596
Kirbee,1925-10-02,710
Amii,1994-08-13,831
Bill,1956-03-10,358
Goldie,1975-05-21,246
Loree,1929-05-17,409
Sallie,2003-07-19,990
Cissiee,1978-07-08,20
Alia,1983-03-28,377
Margette,1927-03-03,943
Catharine,1936-10-22,294
Sidoney,1906-09-03,652
Aimil,1913-05-29,535
Lolita,1933-06-15,686
Dominga,1977-02-19,407
Ursulina,1977-12-22,963
Adele,1906-10-26,493
Carmela,1979-02-07,754
Darci,1953-11-05,94
Amara,1917-04-21,651
Fanny,1920-12-13,625
Brianna,1916-01-13,492
Agnese,1993-03-01,221
Oona,1925-08-30,823
Nananne,2002-01-19,433
Frances,1945-08-03,353
Orsola,2009-10-02,792
Beatriz,1940-01-11,636
Meg,1905-12-16,960
Dianemarie,1969-02-19,602
Donetta,1936-02-27,936
Sharai,1964-12-12,766
Cherrita,1931-07-16,410
Ilse,2011-01-19,670
Gertrud,1987-03-13,943
Chastity,1951-11-15,738
Charmaine,1992-06-03,433
Mariele,1914-09-09,996
Betta,2015-08-02,153
Selma,1952-02-12,963
Sindee,1984-01-16,29
Sue,1906-05-02,288
Juliane,1902-11-25,45
Sindee,1941-06-27,309
Sheelagh,1921-12-12,977
Randa,1980-11-06,611
Zondra,1917-05-17,647
Celisse,1955-05-28,45
Beverley,1915-08-02,282
Tami,1943-10-15,912
Anica,1944-03-04,105
Julieta,1921-04-24,842
Carmela,1961-04-17,597
Tamqrah,1918-05-22,62
Philis,1942-05-20,749
Fina,1997-05-26,741
Cyndie,1962-12-06,928
Elmira,2011-02-07,558
Bee,1968-07-23,45
Dania,1985-11-02,963
Cecile,1941-07-13,989
Ofilia,1903-10-29,975
Anthia,1968-12-12,300
Tilly,1937-05-12,730
Selma,1960-12-01,110
Feliza,1933-10-14,149
Ethel,1994-12-06,442
Aaren,1907-11-12,641
Elie,1919-12-09,815
Yetty,1992-09-23,18
Merle,1955-07-02,259
Loree,1954-04-03,626
Cissiee,1981-07-08,618
Gerrie,1935-05-03,896
Glynnis,1963-05-03,73
Carlie,1981-09-27,593
Mary,1929-03-28,378
Oralee,2001-07-19,114
Carmencita,1988-06-26,627
Priscilla,1903-10-24,590
Xylina,1906-11-15,613
Wanda,1925-10-01,9
Jenilee,1965-11-05,530
Ottilie,1953-02-25,213
Angela,1961-01-14,684
Lynea,1982-06-24,448
Marcy,1938-05-27,759
Jemie,2000-02-14,136
Tiffie,1905-12-12,336
Marguerite,2006-01-29,550
Jany,1907-07-04,483
Elena,1969-07-24,739
Cherilyn,1999-12-18,272
Petronia,1915-10-22,973
Karena,1927-09-21,937
Adore,1988-04-06,220
Emilia,1989-12-25,116
Rhoda,2015-05-19,6
Dede,2019-12-27,128
Lolita,2013-03-08,812
Iseabal,1905-05-10,756
Starla,1916-10-09,526
Courtnay,1973-10-14,606
Goldie,1908-07-20,642
Minda,1903-06-30,485
Leia,1914-11-05,195
Karlee,1905-08-17,882
Charmaine,2006-11-13,469
Tybie,2000-01-10,533
Alexine,1904-04-26,254
Rubie,1971-03-11,402
Esmeralda,1923-07-17,553
Lexine,1906-10-07,731
Kenna,1906-06-19,665
Cyb,1973-11-01,797
Lulita,1997-09-11,722
Dari,2011-02-13,699
Rochette,1923-06-26,173
Starla,1980-08-14,180
Eve,1921-02-14,643
Jerry,1948-02-04,587
Alex,1931-06-26,39
Rani,1936-03-28,63
Cherilyn,1916-01-02,775
Tierney,1915-06-30,355
Adele,1973-04-29,449
Imojean,1978-10-24,599
Stacey,1945-06-07,659
Michaelina,1928-02-02,437
Rebeca,1924-12-12,523
Lusa,1969-11-18,287
Romona,1925-12-07,839
Shirlee,1954-10-06,246
Lacie,1951-12-17,943
Rosene,1980-04-10,852
Hayley,1983-03-29,97
Kary,1914-10-14,547
Dorene,1916-11-08,194
Robinia,1992-10-18,85
Tami,1916-07-17,392
Maurene,2016-11-20,304
Lory,1972-02-02,200
Priscilla,1973-04-17,9
Stephanie,1938-06-06,3
Starla,1994-10-26,748
Gerrie,1953-03-01,645
Shel,1975-08-22,395
Agnese,2006-03-09,486
Philis,1985-07-23,851
Christy,2010-09-16,589
Yolane,1990-12-30,880
Lilith,1910-10-02,713
Dale,1940-09-04,839
Rosanne,1900-09-15,161
Minne,1964-01-07,471
Jany,2009-06-07,150
Corly,2015-03-26,473
Allyce,1949-01-25,164
Quintina,1937-10-11,930
Ivett,1968-02-15,63
Rosanne,1996-05-16,81
Cordi,1961-11-25,883
Magdalena,1959-10-31,888
Nikki,1996-04-21,600
Ardenia,1928-09-02,796
Morganica,2014-03-27,44
Georgina,1905-07-10,13
Kayla,1998-04-15,286
Linzy,1993-02-12,123
Anthia,1909-09-09,891
Peri,1938-04-27,263
Doralynne,2000-08-06,385
Jobi,1991-11-16,54
Philis,1919-12-01,681
Margette,1910-09-06,292
Maryellen,1945-03-24,138
Jean,1938-08-14,966
Kathi,1925-10-07,679
Elsie,1984-10-16,720
Ericka,1958-09-28,155
Janey,1947-07-29,344
Ericka,1948-10-21,529
Mara,1970-09-12,836
Georgetta,1986-06-09,941
Sherrie,1915-07-21,731
Kathi,1965-12-27,441
Tina,1991-06-16,227
Coral,1986-04-12,973
Dale,1932-03-12,178
Coral,1913-06-29,189
Raquela,2016-01-27,818
Jennica,1985-07-30,467
Feliza,1954-01-26,519
Basia,1920-09-26,175
Laurene,1927-03-30,42
Angela,1948-01-08,716
Lonnie,1931-08-26,520
Chere,1932-02-01,532
Karina,1916-02-14,613
Beverley,1915-10-29,109
Tami,1915-02-12,257
Kara-Lynn,1954-07-13,640
Ermengarde,1911-11-21,630
Henriette,2007-10-23,64
Phylis,2002-01-07,477
Codie,2016-12-10,377
Tobe,2011-12-14,716
Miquela,1982-09-19,712
Shandie,1981-09-10,737
Brena,1978-07-16,340
Bernie,1910-03-31,519
Sidoney,1923-08-04,795
Ardenia,1907-08-21,81
Claudina,1987-01-12,197
Shell,1954-08-11,162
Dale,1946-04-06,504
Nariko,1995-04-02,102
Jessy,1998-06-18,428
Cindelyn,2008-09-07,460
Malina,1977-09-05,843
Luci,1976-06-08,724
Ericka,1906-09-17,43
Neila,1941-06-26,697
Michaelina,1908-12-28,50
Genovera,1942-02-21,40
Vivia,1934-05-31,761
Valera,2001-12-08,944
Dorthy,1962-12-07,580
Leia,1918-08-25,945
Lenna,1992-12-29,866
Eugine,1900-06-29,70
Ethel,1905-04-23,885
Augustine,1910-12-29,718
Lorie,1919-01-03,885
Raquela,1980-05-11,881
Marinna,1964-11-10,134
Libbie,1958-07-20,854
Elfreda,2002-02-16,428
Magdalena,1905-06-21,646
Leona,2012-01-31,911
Giustina,1932-02-03,351
Aigneis,1950-12-24,379
Cassandra,1944-08-18,883
Allyce,1943-10-05,682
Gabi,1927-04-15,463
Alyssa,1995-06-05,983
Michaelina,1903-06-07,280
Tomasina,1901-06-25,991
Lexine,1972-12-04,616
Lenna,2005-07-14,968
Libbie,1908-08-22,943
Caryl,1905-07-17,607
Brena,1944-05-30,205
Kimberley,2008-08-28,459
Lorne,1966-08-26,504
Celisse,1919-08-17,510
Di,1964-06-22,225
Flory,1930-04-02,650
Julieta,1959-11-12,3
Janeczka,1984-08-15,549
Ellette,1914-02-25,104
Vanessa,1908-09-17,551
Antonietta,1954-11-27,344
Melina,2002-10-09,356
Tabbatha,1973-12-01,990
Kial,1954-07-24,447
Barbi,1987-12-07,349
Farrah,1940-01-11,72
Emmey,1953-04-02,282
Tierney,1957-09-12,449
Audrie,1906-05-23,626
Vinita,1922-08-02,722
Pearline,2017-02-26,353
Marinna,1925-12-27,72
Perry,1928-04-21,547
Eve,1962-09-23,720
Mellicent,2009-07-25,694
Cecile,1983-10-29,455
Merrie,1916-05-14,430
Jaclyn,1906-07-22,780
Adriana,1921-06-05,905
Meg,1945-06-03,972
Hyacinthe,1956-09-12,127
Darlleen,2008-09-01,710
Cissiee,1941-02-28,91
Vevay,2013-05-03,792
Jorry,2013-04-04,401
Audrie,1910-05-26,874
Elvira,1900-06-03,484
Tersina,1924-09-21,498
Nataline,1970-04-28,274
Agathe,2019-06-17,103
Merle,1995-04-23,979
Orelia,1954-11-10,483
Berget,1952-11-27,733
Felice,2013-04-27,407
Olwen,1901-07-26,238
Nonnah,1965-09-26,29
Meriel,1962-09-04,674
Jaime,1911-03-01,678
Mariann,2010-06-26,780
Doro,1945-05-01,523
Tori,1955-05-17,438
Marguerite,1912-08-01,486
Emmey,1968-09-08,465
Roslyn,1916-01-01,557
Emmey,1997-07-31,471
Farrah,1938-03-25,654
Pamella,1938-02-25,492
Anallese,1950-08-05,142
Myrtice,1917-01-04,353
Queenie,1965-07-02,383
Agnese,1910-01-22,547
Elena,1942-12-06,765
Ileana,1901-09-26,119
Tonia,1999-07-18,660
Peri,1986-09-04,803
Robbi,1900-06-06,863
Shel,1914-07-26,37
Cristine,1953-12-01,336
Karolina,1968-06-02,304
Anestassia,1931-10-11,88
Moyna,2019-03-16,145
Viki,1910-08-11,420
Rebeca,1909-09-08,846
Chrystel,1951-10-28,989
Ethel,2005-09-05,804
Kaja,1941-07-28,796
Anallese,1978-12-25,623
Vinita,2013-09-19,322
Carol-Jean,1974-07-23,210
Melodie,1959-06-30,491
Wynne,1940-01-21,338
Arlena,2006-10-21,723
Lanna,2008-11-22,889
Lynnea,1966-04-06,241
Luci,1925-10-11,123
Alexine,1920-08-02,944
Jaclyn,1926-02-06,389
Karina,1942-07-01,997
Deane,1964-12-24,317
Margette,2004-02-04,503
Valeda,1903-07-03,814
Eugine,2003-10-04,865
Dede,1955-07-30,416
Amelia,2009-02-06,898
Gabi,2017-09-05,332
Alyssa,2017-06-11,688
Jaclyn,2001-06-19,256
Jennica,1928-06-03,810
Ofilia,1996-01-29,235
Kimberley,1939-04-30,575
Rozele,1931-08-24,674
Tina,1921-05-24,136
Sara-Ann,1950-11-07,373
Olivette,1946-06-14,526
Carmencita,1937-11-18,765
Larine,1935-05-18,180
Dorene,1960-07-27,303
Kimberley,1989-10-09,957
Evita,1998-08-30,804
Sadie,1932-03-29,976
Netty,1902-07-17,406
Constance,1931-12-07,588
Rhea,2002-04-14,539
Bobbi,1908-11-13,248
Wileen,1981-03-15,408
Tressa,1947-05-01,967
Ardeen,1950-07-11,556
Allyce,1962-12-20,794
Donetta,2016-02-23,371
Heida,1980-03-20,621
Catharine,2014-05-13,383
Vere,1913-04-01,944
Rozele,1974-03-01,853
Ileana,1932-11-06,653
Adriana,1962-12-08,785
Lelah,1933-11-29,924
Sheree,1914-12-16,872
Jacenta,1941-10-13,700
Johna,1927-08-02,81
Emmey,1902-09-05,286
Fina,1993-12-09,70
Lanna,1946-08-30,142
Amelia,1914-03-11,912
Grier,1997-12-24,246
Karolina,1980-10-10,129
Etta,1931-12-18,746
Elsie,2003-02-20,218
Sabina,1988-11-14,866
Devina,1954-08-15,293
Candi,2009-02-03,891
Althea,1961-11-09,322
Emelina,1917-08-29,610
Lucille,1926-05-20,84
Gertrud,1984-09-08,482
Cyb,1921-03-11,633
Elora,1904-02-21,564
Harmonia,2018-04-15,495
Kassey,2015-10-19,273
Wileen,1921-02-05,559
Miquela,1967-04-16,84
Monika,2017-01-13,285
Farrah,1963-03-14,200
Silvana,1961-01-31,154
Caryl,2014-05-21,864
Sidoney,1974-02-14,965
Raquela,1958-07-07,932
Latisha,2017-02-27,189
Alexine,2010-05-07,732
Alie,1900-09-20,435
Jorry,1939-05-13,869
Nariko,1945-11-13,838
Petronia,1915-11-21,324
Gertrud,1992-06-20,744
Dorice,1924-06-23,190
Zsa Zsa,1992-04-01,23
Shandie,1979-02-06,915
Brianna,2013-10-17,545
Babita,1991-12-19,785
Bobbi,1913-11-13,832
Christian,2015-06-15,273
Susan,1901-06-23,133
Tomasina,2011-12-06,654
Rosanne,1936-08-28,26
Althea,1939-01-04,465
Codie,1911-01-13,445
Britni,1935-03-29,961
Mahalia,2019-09-22,285
Kayla,1975-01-14,376
Arlina,1947-08-06,218
Julieta,1900-10-09,158
Sophia,1947-05-05,104
Aubrie,1920-10-22,430
Steffane,2001-05-23,317
Livvyy,1977-02-09,987
Minne,1991-03-05,850
Anthia,1979-05-03,518
Alex,1935-08-16,839
Cissiee,2002-04-17,796
Atlanta,1971-11-26,228
Heddie,1914-10-02,409
Correy,2011-10-13,925
Heddie,1983-03-31,293
Kamilah,1951-02-07,683
Sissy,1998-06-30,271
Jeanna,2017-12-07,263
Andeee,1938-08-14,306
Reeba,2013-05-13,23
Adelle,1921-11-17,50
Gale,1952-05-07,734
Kenna,1913-08-25,641
Aigneis,1912-10-10,874
Oralee,1900-01-29,105
Beth,1917-07-30,504
Ira,1934-02-15,640
Marinna,1972-01-09,466
Amalie,1991-03-11,1
Belva,1904-06-22,999
Fernande,1971-04-07,896
Deloria,1923-06-08,948
Constance,1964-12-28,349
Arlena,1920-05-13,844
Madelle,1970-11-22,224
Heddie,1910-11-18,877
Dominga,1925-08-12,657
Leontine,1915-12-23,222
Blake,2008-10-11,895
Shannah,2016-01-02,842
Kara-Lynn,1911-07-01,790
Lilith,2008-12-21,611
Alyssa,2004-08-13,561
Chloris,1935-09-29,801
Vinita,1954-03-13,509
Kittie,1990-04-03,907
Fina,1972-01-17,374
Blake,1988-06-30,433
Grier,1909-10-09,58
Wynne,1917-08-07,278
Frank,1923-07-22,797
Elora,1933-11-18,644
Farrah,1977-07-04,647
Loree,1964-11-05,695
Tressa,1960-02-29,697
Kittie,1946-08-22,707
Maud,2000-05-27,70
Elsie,2008-03-12,10
Tiffie,1999-02-07,624
Sadie,1942-03-04,370
Deloria,1979-10-25,123
Meghann,1916-08-31,464
Jsandye,1995-08-24,622
Rivalee,1907-02-27,402
Carlie,1957-12-06,265
Moyna,1917-08-30,274
Nita,1967-01-03,862
Oona,1958-06-03,965
Elsie,2011-01-08,649
Marti,2006-05-10,789
Jasmina,1901-11-12,915
Mahalia,1935-09-05,555
Stacey,1941-03-17,704
Edyth,1994-09-03,972
Carree,1922-02-02,298
Basia,1982-09-12,687
Joeann,1911-01-24,403
Monika,2018-03-01,951
Marnia,1932-07-17,718
