Song,Date,Total Number of Plays for Date
Allyce,1902-03-03,912
Allyce,1908-09-20,833
Allyce,1911-06-28,833
Allyce,1927-03-18,32
Allyce,1931-10-13,423
Allyce,1943-10-05,682
Allyce,1948-07-07,419
Allyce,1949-01-25,164
Allyce,1956-05-24,515
Allyce,1962-02-08,169
Allyce,1962-12-20,794
Allyce,1963-01-29,765
Allyce,2000-11-14,53
Allyce,2002-06-29,292
Allyce,2007-02-17,388
Allyce,2013-08-29,930
Allyce,2018-04-24,293
Allyce,2019-12-14,211
Almeta,1901-07-30,535
Almeta,1942-04-06,506
Almeta,1942-06-30,661
Almeta,1942-10-11,731
Almeta,1966-03-28,678
Almeta,1971-09-03,400
Almeta,1979-04-04,56
Almeta,1986-04-27,773
Almeta,1997-08-30,940
Almeta,2002-08-28,968
Almeta,2009-02-23,619
Althea,1907-01-25,779
Althea,1915-09-12,833
Althea,1917-04-05,205
Althea,1918-01-29,671
Althea,1921-12-18,975
Althea,1937-09-25,59
Althea,1939-01-04,465
Althea,1958-06-06,199
Althea,1959-02-09,524
Althea,1961-11-09,322
Althea,1968-11-22,999
Althea,1969-04-16,471
Althea,1973-11-19,135
Althea,1984-10-15,131
Althea,1994-07-31,353
Althea,2006-01-21,143
Althea,2008-08-03,678
Althea,2016-01-25,711
Alyda,1905-10-30,38
Alyda,1958-05-28,22
Alyssa,1908-08-22,972
Alyssa,1909-01-08,942
Alyssa,1913-08-17,649
Alyssa,1938-06-07,507
Alyssa,1941-01-01,991
Alyssa,1961-05-12,725
Alyssa,1980-06-28,901
Alyssa,1983-08-18,344
Alyssa,1995-06-05,983
Alyssa,2004-08-13,561
Alyssa,2015-05-16,577
Alyssa,2015-12-09,579
Alyssa,2017-03-29,969
Alyssa,2017-06-11,688
Amalie,1920-04-12,928
Amalie,1920-12-30,908
Amalie,1921-11-11,17
Amalie,1936-09-24,385
Amalie,1948-05-11,705
Amalie,1955-02-15,170
Amalie,1955-09-01,525
Amalie,1956-12-08,304
Amalie,1968-10-20,734
Amalie,1977-01-04,888
Amalie,1990-12-26,558
Amalie,1991-03-11,1
Amalie,1994-01-27,912
Amalie,1994-12-01,370
Amalie,2003-06-03,755
Amalie,2003-07-27,267
Amara,1907-09-03,172
Amara,1908-11-26,324
Amara,1917-04-21,651
Amara,1926-02-16,62
Amara,1928-10-22,942
Amara,1934-07-08,318
Amara,1936-09-05,982
Amara,1939-07-12,375
Amara,1949-12-16,237
Amara,1982-06-29,139
Amara,1985-07-17,950
Amara,1996-09-15,173
Amara,2005-05-23,634
Amara,2015-03-12,538
Amara,2019-06-24,136
Amelia,1905-11-18,560
Amelia,1906-05-18,106
Amelia,1909-10-09,183
Amelia,1911-09-25,778
Amelia,1913-08-20,856
Amelia,1914-03-11,912
Amelia,1924-09-09,563
Amelia,1929-05-15,792
Amelia,1936-11-22,22
Amelia,1943-01-31,712
Amelia,1958-05-19,986
Amelia,1960-06-24,982
Amelia,1972-05-28,434
Amelia,1974-03-17,414
Amelia,1983-05-11,743
Amelia,1985-03-19,45
Amelia,1988-12-29,444
Amelia,1993-11-26,460
Amelia,2004-03-26,472
Amelia,2006-04-08,66
Amelia,2007-02-27,274
Amelia,2008-10-31,47
Amelia,2009-02-06,898
Amelia,2010-02-26,469
Amelia,2011-02-28,146
Amii,1907-04-02,341
Amii,1921-07-01,767
Amii,1934-05-02,129
Amii,1936-11-26,171
Amii,1943-09-06,666
Amii,1952-04-12,754
Amii,1968-08-17,163
Amii,1981-08-12,754
Amii,1985-12-20,482
Amii,1994-08-13,831
Amii,2001-05-15,446
Amii,2012-03-08,747
Amii,2014-08-22,297
Ana,1906-04-13,439
Ana,1916-12-21,103
Ana,1917-01-28,349
Ana,1925-04-07,362
Ana,1927-12-03,977
Ana,1942-03-01,500
Ana,1961-01-15,739
Ana,1973-06-02,27
Ana,1988-04-12,893
Ana,1998-07-21,447
Ana,2006-12-16,830
Anallese,1914-09-11,990
Anallese,1931-11-29,178
Anallese,1938-11-29,753
Anallese,1942-03-12,494
Anallese,1950-08-05,142
Anallese,1968-02-28,548
Anallese,1969-02-25,692
Anallese,1978-01-13,469
Anallese,1978-12-25,623
Anallese,1980-08-15,787
Andeee,1909-01-15,657
Andeee,1913-06-24,825
Andeee,1919-07-02,142
Andeee,1922-03-12,530
Andeee,1932-06-13,208
Andeee,1935-08-09,474
Andeee,1935-08-27,659
Andeee,1938-08-14,306
Andeee,1957-04-20,536
Andeee,1966-04-07,88
Andeee,2001-12-07,760
Andeee,2002-02-07,794
Andeee,2006-02-11,171
Andree,1906-10-30,177
Andree,1914-11-17,403
Andree,1924-02-02,734
Andree,1925-10-20,118
Andree,1927-02-23,227
Andree,1927-12-03,885
Andree,1939-10-20,824
Andree,1939-12-21,704
Andree,1974-12-01,931
Andree,1977-06-19,595
Andree,1984-07-03,715
Andree,1986-10-25,275
Andree,1989-01-21,971
Andree,1996-01-19,855
Andree,2000-02-18,600
Andree,2003-04-23,72
Andree,2006-09-14,807
Anestassia,1909-02-11,107
Anestassia,1923-11-01,371
Anestassia,1929-04-25,836
Anestassia,1931-10-11,88
Anestassia,1935-10-20,72
Anestassia,1945-03-17,122
Anestassia,1956-05-02,490
Anestassia,1960-09-10,297
Anestassia,1963-05-06,271
Anestassia,1970-07-13,756
Anestassia,1984-11-22,37
Anestassia,1985-12-27,314
Anestassia,1988-06-11,66
Anestassia,1997-11-11,706
Anestassia,2011-02-26,997
Anestassia,2012-04-14,574
Angela,1900-07-23,958
Angela,1904-09-19,283
Angela,1908-03-10,714
Angela,1913-03-05,18
Angela,1928-03-29,151
Angela,1929-03-14,340
Angela,1933-08-05,639
Angela,1938-10-29,924
Angela,1939-08-25,297
Angela,1942-07-17,933
Angela,1947-03-16,534
Angela,1948-01-08,716
Angela,1949-04-11,291
Angela,1961-01-14,684
Angela,1966-04-15,3
Angela,1969-12-06,838
Angela,1978-10-02,94
Angela,1982-10-10,372
Angela,2006-09-29,684
Angela,2011-06-30,24
Angela,2019-06-08,556
Angelique,1901-07-16,902
Angelique,1909-07-15,708
Angelique,1928-09-26,683
Angelique,1949-08-17,421
Angelique,1955-07-10,864
Angelique,1958-11-10,12
Angelique,1963-10-20,30
Angelique,1965-02-13,505
Angelique,1968-10-09,596
Angelique,1975-02-10,557
Angelique,1977-06-14,741
Angelique,1984-05-31,921
Angelique,1986-09-04,703
Angelique,2005-04-21,732
Angelique,2019-07-23,344
Anica,1905-01-28,528
Anica,1919-11-25,836
Anica,1926-12-31,855
Anica,1944-03-04,105
Anica,1948-10-19,438
Anica,1968-07-21,669
Anica,1982-02-25,715
Anica,2002-04-20,802
Anica,2016-11-05,542
Anica,2017-03-22,678
Ann-Marie,1909-05-10,764
Ann-Marie,1910-05-14,645
Ann-Marie,1917-02-06,751
Ann-Marie,1943-05-18,281
Ann-Marie,1947-11-16,920
Ann-Marie,1949-04-28,69
Ann-Marie,1952-06-19,892
Ann-Marie,1962-12-01,1
Ann-Marie,1964-06-22,401
Ann-Marie,1971-08-15,366
Ann-Marie,1976-02-26,187
Ann-Marie,1993-05-23,56
Ann-Marie,1994-12-23,112
Ann-Marie,1995-03-19,979
Ann-Marie,1999-01-14,577
Ann-Marie,2009-06-11,335
Ann-Marie,2013-11-03,770
Annabela,1902-02-19,79
Annabela,1907-06-24,597
Annabela,1916-07-12,123
Annabela,1926-11-26,73
Annabela,1928-01-28,139
Annabela,1937-12-13,418
Annabela,1954-04-04,883
Annabela,1959-01-10,322
Annabela,1959-12-15,883
Annabela,1960-08-25,985
Annabela,1965-06-21,75
Annabela,1983-04-22,773
Annabela,1985-01-16,787
Annabela,1988-08-23,953
Annabela,2010-04-08,490
Annaliese,1914-06-05,275
Annaliese,1915-09-04,50
Annaliese,1920-02-12,318
Annaliese,1927-12-25,541
Annaliese,1928-01-31,221
Annaliese,1931-07-27,735
Annaliese,1939-06-17,58
Annaliese,1942-04-26,175
Annaliese,1949-05-14,899
Annaliese,1950-02-22,616
Annaliese,1951-01-31,417
Annaliese,1963-09-09,575
Annaliese,1964-05-02,492
Annaliese,1964-08-31,829
Annaliese,1967-11-04,731
Annaliese,1968-07-05,814
Annaliese,1978-02-13,247
Annaliese,1983-07-09,534
Annaliese,1984-10-11,903
Annaliese,1990-04-02,615
Annaliese,2001-07-08,506
Annaliese,2006-09-19,615
Annecorinne,1907-06-03,177
Annecorinne,1912-05-11,173
Annecorinne,1921-11-17,579
Annecorinne,1929-01-26,776
Annecorinne,1938-09-18,288
Annecorinne,1940-07-06,845
Annecorinne,1966-03-27,571
Annecorinne,1976-12-15,632
Annecorinne,1980-06-06,885
Annecorinne,1982-03-24,446
Annecorinne,1996-11-17,462
Annecorinne,2008-05-04,122
Annice,1910-08-31,395
Annice,1918-01-14,732
Annice,1923-10-14,455
Annice,1930-10-01,44
Annice,1931-05-30,49
Annice,1934-10-11,123
Annice,1938-01-11,118
Annice,1939-06-05,592
Annice,1948-06-12,887
Annice,1950-07-06,684
Annice,1960-11-25,356
Annice,1961-03-25,994
Annice,1962-08-14,976
Annice,1967-03-16,248
Annice,1967-06-19,75
Annice,1970-07-27,993
Annice,1978-08-22,538
Annice,2005-11-25,437
Annice,2007-01-27,744
Annice,2007-07-17,168
Annice,2014-05-31,692
Annora,1906-10-07,335
Annora,1918-06-09,474
Annora,1925-01-23,999
Annora,1945-08-26,224
Annora,1951-02-17,234
Annora,1956-03-30,365
Annora,1960-01-28,503
Annora,1977-06-08,865
Annora,2005-08-13,375
Annora,2007-04-25,928
Annora,2018-06-13,539
Anthia,1900-11-24,368
Anthia,1909-09-09,891
Anthia,1923-01-07,264
Anthia,1923-07-18,672
Anthia,1929-06-11,18
Anthia,1952-06-27,777
Anthia,1964-05-25,617
Anthia,1968-12-12,300
Anthia,1970-07-09,753
Anthia,1972-11-19,892
Anthia,1973-03-11,449
Anthia,1979-05-03,518
Anthia,1980-11-14,863
Anthia,1983-01-19,509
Anthia,2003-08-24,412
Anthia,2004-06-28,448
Anthia,2018-04-15,922
Antonietta,1901-12-16,159
Antonietta,1905-04-16,759
Antonietta,1923-11-11,198
Antonietta,1923-11-23,584
Antonietta,1942-05-12,800
Antonietta,1946-10-18,358
Antonietta,1949-03-27,887
Antonietta,1954-04-15,254
Antonietta,1954-11-27,344
Antonietta,1960-11-16,638
Antonietta,1963-03-19,853
Antonietta,1963-09-11,681
Antonietta,1965-05-15,54
Antonietta,1989-01-07,805
Antonietta,1997-05-25,665
Antonietta,2000-06-26,704
Arabel,1915-03-10,419
Arabel,1922-09-30,21
Arabel,1931-03-21,647
Arabel,1932-08-27,568
Arabel,1951-02-14,162
Arabel,1952-06-08,153
Arabel,1991-06-14,796
Arabel,1995-09-13,372
Arabel,2008-02-07,675
Arabel,2011-03-15,316
Ardeen,1917-05-26,671
Ardeen,1920-10-07,116
Ardeen,1950-07-11,556
Ardeen,1956-03-02,347
Ardeen,1969-12-03,631
Ardeen,1990-03-15,576
Ardeen,2013-10-29,3
Ardeen,2019-06-30,503
Ardenia,1903-01-15,378
Ardenia,1907-08-21,81
Ardenia,1908-06-30,465
Ardenia,1928-09-02,796
Ardenia,1933-05-11,84
Ardenia,1938-10-31,370
Ardenia,1939-08-05,948
Ardenia,1939-08-18,369
Ardenia,1967-03-27,710
Ardenia,1968-08-16,150
Ardenia,1969-05-05,106
Ardenia,1978-01-23,27
Ardenia,1987-12-01,931
Ardenia,1995-09-11,538
Ardenia,2000-08-04,940
Ardenia,2003-05-13,694
Ardenia,2011-04-08,988
Ardys,1903-12-14,944
Ardys,1921-10-25,823
Ardys,1932-08-06,97
Ardys,1933-11-17,490
Ardys,1936-08-15,793
Ardys,1937-07-06,143
Ardys,1940-07-08,419
Ardys,1948-03-07,449
Ardys,1948-03-26,674
Ardys,1963-02-03,641
Ardys,1963-09-15,239
Ardys,1966-12-22,487
Ardys,1967-10-28,581
Ardys,1976-07-11,150
Ardys,1979-12-21,246
Ardys,1988-10-01,392
Ardys,1993-05-01,445
Ardys,1997-08-10,238
Ardys,2004-04-23,205
Ardys,2016-10-27,134
Ardys,2017-11-14,311
Ardys,2018-09-23,126
Ariela,1900-09-21,1000
Ariela,1906-09-05,295
Ariela,1909-07-26,968
Ariela,1911-10-04,804
Ariela,1912-03-09,28
Ariela,1916-09-05,51
Ariela,1920-01-31,964
Ariela,1929-03-25,574
Ariela,1935-12-11,124
Ariela,1968-04-02,675
Ariela,1989-11-02,733
Ariela,2002-08-01,166
Ariela,2011-10-30,553
Ariela,2015-03-03,323
Arlena,1906-10-18,261
Arlena,1917-11-27,213
Arlena,1920-05-13,844
Arlena,1935-12-07,118
Arlena,1941-03-02,643
Arlena,1941-06-18,853
Arlena,1943-06-17,883
Arlena,1952-12-08,541
Arlena,1958-12-06,450
Arlena,1960-08-05,399
Arlena,1966-03-05,272
Arlena,1968-12-12,252
Arlena,1977-03-01,149
Arlena,1989-06-12,857
Arlena,1996-05-05,120
Arlena,1997-06-29,342
Arlena,2006-10-21,723
Arlena,2007-12-08,611
Arlena,2019-07-24,209
Arlina,1900-07-16,457
Arlina,1901-10-26,441
Arlina,1915-12-11,196
Arlina,1928-03-19,798
Arlina,1935-05-01,495
Arlina,1947-08-06,218
Arlina,1950-09-30,663
Arlina,1951-01-27,780
Arlina,1957-07-21,545
Arlina,1968-10-15,267
Arlina,1970-04-28,505
Arlina,1970-07-27,944
Arlina,1995-11-25,381
Arlina,2001-12-14,795
Arlina,2002-06-02,377
Arlina,2002-12-24,103
Arlina,2012-05-20,985
Aryn,1930-02-20,5
Aryn,1939-01-07,496
Aryn,1984-11-27,840
Aryn,1986-05-16,690
Aryn,1988-07-09,268
Aryn,1989-01-28,42
Aryn,1999-01-20,88
Aryn,2011-09-29,999
Ashlee,1925-07-13,931
Ashlee,1927-07-08,934
Ashlee,1937-04-21,30
Ashlee,1952-02-25,40
Ashlee,1953-10-07,932
Ashlee,1958-01-30,108
Ashlee,1960-02-03,609
Ashlee,1976-09-10,230
Ashlee,1995-05-20,332
Ashlee,1996-04-25,656
Ashlee,1997-05-08,799
Ashlee,1998-01-14,573
Ashlee,1999-02-28,533
Ashlee,1999-03-10,945
Ashlee,1999-11-03,490
Ashlee,2015-05-07,849
Ashlee,2019-09-07,285
Asia,1902-10-09,385
Asia,1908-07-03,35
Asia,1917-02-12,362
Asia,1920-01-27,324
Asia,1924-01-19,899
Asia,1924-03-30,118
Asia,1951-09-07,928
Asia,1952-08-10,778
Asia,1956-07-09,496
Asia,1973-06-04,261
Asia,1975-12-11,805
Asia,1982-06-02,349
Asia,1984-11-26,924
Asia,1997-09-24,727
Asia,2004-05-12,38
Asia,2009-07-18,637
Asia,2009-07-26,867
Atlanta,1905-03-28,26
Atlanta,1905-10-27,486
Atlanta,1908-06-22,228
Atlanta,1915-11-21,53
Atlanta,1921-05-21,484
Atlanta,1924-06-13,519
Atlanta,1933-01-10,946
Atlanta,1940-07-26,336
Atlanta,1958-01-06,234
Atlanta,1971-11-26,228
Atlanta,1982-10-25,240
Atlanta,1994-01-29,159
Atlanta,1994-05-04,986
Atlanta,2016-07-12,307
Aubrie,1920-10-22,430
Aubrie,1925-01-04,894
Aubrie,1925-09-16,944
Aubrie,1971-01-11,288
Aubrie,1971-02-27,444
Aubrie,1972-11-29,80
Aubrie,1973-09-09,258
Aubrie,1974-12-13,780
Aubrie,2009-10-01,729
Aubrie,2010-04-24,755
Aubrie,2014-07-22,287
Audrie,1902-04-07,355
Audrie,1906-05-23,626
Audrie,1910-05-26,874
Audrie,1922-08-12,268
Audrie,1947-04-06,448
Audrie,1950-02-27,805
Audrie,1951-01-25,369
Audrie,1976-03-29,846
Audrie,1978-06-22,760
Audrie,2000-10-26,937
Audrie,2004-01-20,685
Audrie,2004-08-07,27
Augustine,1910-12-29,718
Augustine,1918-05-10,781
Augustine,1959-08-16,16
Augustine,1961-10-14,958
Augustine,1963-01-28,471
Augustine,1963-05-05,235
Augustine,1972-04-25,747
Augustine,1978-06-02,855
Augustine,1981-06-26,906
Augustine,1989-11-16,328
Augustine,1998-03-16,696
Augustine,2002-10-01,550
Aurelie,1907-01-11,728
Aurelie,1934-05-08,762
Aurelie,1937-08-31,140
Aurelie,1941-04-27,794
Aurelie,1961-09-30,175
Aurelie,1979-04-07,718
Aurelie,1983-09-02,742
Aurelie,2002-04-11,896
Aurelie,2005-11-25,741
Aurelie,2008-10-03,769
Aurelie,2018-04-01,297
Aurore,1907-05-15,827
Aurore,1918-10-15,328
Aurore,1923-11-21,257
Aurore,1938-03-23,734
Aurore,1956-07-13,294
Aurore,1974-02-07,363
Aurore,1983-11-28,76
Aurore,1990-08-02,236
Aurore,1995-09-26,424
Aurore,2000-06-09,543
Aurore,2004-09-12,234
Aurore,2005-09-12,632
Aurore,2014-01-11,24
Aurore,2014-06-17,382
Aurore,2015-08-23,875
Averyl,1924-05-15,747
Averyl,1924-09-10,447
Averyl,1925-05-18,140
Averyl,1927-05-16,32
Averyl,1928-04-16,986
Averyl,1968-03-01,770
Averyl,1969-12-14,959
Averyl,1981-09-02,345
Averyl,1982-10-23,329
Averyl,1985-09-08,399
Averyl,2015-02-14,521
Ayn,1902-06-07,682
Ayn,1914-01-30,912
Ayn,1926-01-08,171
Ayn,1943-01-07,461
Ayn,1948-04-09,682
Ayn,1950-09-05,384
Ayn,1960-11-19,336
Ayn,1962-11-25,153
Ayn,1968-04-08,307
Ayn,1970-06-16,774
Ayn,1973-07-10,72
Ayn,1980-07-16,457
Ayn,1983-09-24,700
Ayn,1989-06-20,396
Ayn,1999-09-11,409
Ayn,2012-10-17,594
Ayn,2017-03-23,328
